genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut
M,41,urbain,artisanat,0,4,28,2014000,995000,1019000,943000,80000,1319000,18,86500,0.085,10.902,103000,0.384,1,0.372,0,0,0,0,1,0.527,0.587,aucun,0
F,27,urbain,quincaillerie_materiaux,1,3,27,2244000,1847000,397000,376000,80000,1255000,18,82300,0.207,4.569,15000,0.652,1,0.807,1,2,2,0,0,0,0.662,aucun,0
M,34,urbain,commerce_detail,1,5,27,654000,577000,77000,59000,67000,235000,18,15400,0.2,3.831,9000,0.774,0,0,0,0,0,0,1,0.117,0.876,aucun,0
M,32,urbain,services,1,4,29,319000,101000,218000,228000,104000,329000,12,32400,0.149,7.037,26000,0.346,0,0,0,0,0,0,1,0.606,0.557,aucun,0
F,29,urbain,commerce_detail,1,1,27,481000,388000,93000,86000,55000,172000,12,16900,0.182,5.088,0,0.742,1,0.424,0,0,0,0,1,0.636,0.487,retards,1
M,38,urbain,services,0,3,76,24480000,7316000,17164000,16160000,80000,19618000,12,1929100,0.112,8.377,2586000,0.692,0,0,1,0,0,0,0,0,0.843,aucun,0
M,20,rural,quincaillerie_materiaux,1,3,104,571000,475000,96000,88000,60000,337000,12,33100,0.345,2.659,1000,0.799,0,0,0,0,0,0,1,0.263,0.639,aucun,0
M,35,rural,commerce_detail,1,2,100,253000,201000,52000,50000,42000,240000,24,11800,0.227,4.237,2000,0.626,1,0.35,1,2,3,0,0,0,0.713,aucun,0
F,37,rural,commerce_detail,1,1,13,866000,774000,92000,87000,64000,563000,12,55400,0.602,1.57,10000,0.398,1,0.95,0,0,0,0,1,0.494,0.969,aucun,0
F,26,rural,services,1,3,25,158000,59000,99000,98000,68000,150000,12,14800,0.149,6.621,14000,0.507,1,0.291,0,0,0,0,0,0,0.888,aucun,0
F,52,rural,commerce_detail,1,3,12,9235000,7911000,1324000,1057000,74000,3492000,12,343400,0.259,3.078,152000,0.478,1,0.746,0,0,0,0,1,0.713,0.804,aucun,0
M,33,rural,artisanat,0,3,102,678000,379000,299000,239000,81000,395000,12,38800,0.13,6.16,33000,0.885,0,0,1,1,1,0,1,0.734,0.708,aucun,0
M,36,urbain,services,0,2,44,659000,212000,447000,365000,38000,464000,12,45600,0.102,8.004,40000,0.229,0,0,1,1,0,0,1,0.57,0.528,aucun,0
M,33,rural,services,1,4,55,1231000,484000,747000,776000,97000,966000,9,126700,0.17,6.125,69000,0.266,0,0,0,0,0,0,1,0.41,0.533,aucun,0
F,37,urbain,commerce_detail,0,3,33,1100000,865000,235000,201000,82000,1069000,18,70100,0.298,2.867,18000,0.498,1,0.322,1,0,0,0,1,0.38,0.754,aucun,0
F,50,urbain,services,0,1,35,3950000,1449000,2501000,2113000,38000,2244000,12,220700,0.088,9.574,125000,0.275,1,0.582,1,0,1,1,1,0.313,0.802,aucun,0
M,60,urbain,agriculture,0,2,67,8562000,5793000,2769000,2267000,36000,7826000,12,769600,0.278,2.946,181000,0.81,1,0.365,1,0,0,0,0,0,0.792,aucun,0
F,45,rural,commerce_detail,1,4,37,757000,618000,139000,124000,89000,334000,12,32800,0.236,3.78,22000,0.482,1,0.473,0,0,0,0,1,0.365,0.732,aucun,0
M,48,rural,commerce_detail,0,5,38,717000,578000,139000,142000,89000,715000,12,70300,0.506,2.02,10000,0.656,1,0.592,1,4,1,0,1,0.692,0.808,aucun,0
M,53,rural,commerce_detail,0,2,52,689000,609000,80000,76000,42000,229000,12,22500,0.281,3.378,11000,0.289,0,0,0,0,0,0,1,0.548,0.798,aucun,0
M,40,rural,vente_vivres,1,1,49,204000,186000,18000,15000,20000,190000,9,24900,1.383,0.602,2000,0.611,1,0.831,1,1,1,0,1,0.564,0.677,aucun,0
F,52,rural,services,0,3,36,218000,49000,169000,169000,85000,150000,6,29500,0.175,5.729,7000,0.704,1,0.672,0,0,0,0,1,0.528,0.764,aucun,0
M,45,urbain,vente_vivres,0,2,28,600000,492000,108000,112000,56000,485000,12,47700,0.442,2.348,3000,0.68,1,0.825,1,2,1,0,0,0,0.603,aucun,0
M,39,rural,quincaillerie_materiaux,0,5,27,156000,139000,17000,16000,20000,150000,12,14800,0.871,1.081,0,0.404,0,0,1,2,2,0,1,0.569,0.707,aucun,0
M,41,rural,commerce_detail,0,2,64,450000,393000,57000,53000,47000,334000,12,32800,0.575,1.616,5000,0.171,1,0.217,0,0,0,0,1,0.746,0.416,impaye,1
F,22,rural,commerce_detail,1,3,38,344000,289000,55000,52000,35000,373000,18,24500,0.445,2.122,2000,0.637,1,0.978,0,0,0,0,0,0,0.579,aucun,0
F,41,urbain,commerce_detail,0,4,23,464000,414000,50000,49000,31000,352000,24,17300,0.346,2.832,2000,0.626,0,0,1,0,0,0,0,0,0.81,aucun,0
F,24,urbain,artisanat,0,2,58,1564000,1018000,546000,550000,69000,677000,18,44400,0.081,12.387,82000,0.342,1,0.601,1,0,1,0,1,0.574,0.713,aucun,0
F,23,rural,quincaillerie_materiaux,1,1,36,239000,199000,40000,38000,38000,150000,6,29500,0.737,1.288,4000,0.227,1,0.711,1,3,2,0,1,0.193,0.645,aucun,0
M,40,urbain,vente_vivres,1,3,13,18547000,15155000,3392000,3085000,80000,6161000,12,605800,0.179,5.092,203000,0.312,0,0,1,4,1,0,1,0.235,0.292,aucun,0
M,28,urbain,services,0,2,24,367000,81000,286000,230000,54000,196000,12,19300,0.067,11.916,10000,0.555,0,0,1,2,0,0,1,0.629,0.421,aucun,0
