dossier_id,genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut,anciennete_membre_mois,endettement_externe_declare,montant_dernier_credit,type_credit,type_garantie,valeur_garantie,pertinence_saisonniere,croissance_ventes_pct,employeur_nom
BRK-2026-000001,M,33,urbain,services,1,4,34,885000,276000,609000,242776,21000,900000,12,75000,0.1232,3.237,7000,0.523,1,0.493,1,5,2,0,0,0.0,0.873,aucun,0,,0,,salarie_scolaire,aucune,,,,Fictif Clinique Wentenga
BRK-2026-000002,F,39,rural,quincaillerie_materiaux,1,4,29,131000,116000,15000,21536,54000,150000,18,8333,0.5555,2.5844,117000,0.194,0,0.0,0,0,0,0,1,0.484,0.931,aucun,0,26,0,,productif_fonds_roulement,aucune,,defavorable,-41,
BRK-2026-000003,M,59,urbain,services,1,6,28,2167000,688000,1479000,322345,85000,950000,12,79167,0.0535,4.0717,14000,0.32,1,0.819,1,2,0,0,1,0.296,0.768,aucun,0,18,,550000,productif_fonds_roulement,,550000,,,
BRK-2026-000004,M,25,urbain,vente_vivres,1,1,35,12841000,12111000,730000,1003346,62000,3500000,12,291667,0.3995,3.44,9000,0.617,0,0.0,1,2,2,0,1,0.671,0.865,aucun,0,8,0,1600000,salarie_autre,materiel,1300000,favorable,46,Fictif Clinique Wentenga
BRK-2026-000005,F,43,urbain,services,0,3,48,1041000,324000,717000,137399,55000,700000,12,58333,0.0814,2.3554,1000,0.428,0,0.0,0,0,0,0,0,0.0,0.868,aucun,0,,934000,,,foncier,350000,,,Fictif Clinique Wentenga
BRK-2026-000006,M,58,rural,commerce_detail,1,3,10,190000,153000,37000,28436,36000,150000,12,12500,0.3378,2.2749,4000,0.456,0,0.0,1,2,1,0,1,0.842,0.792,aucun,0,10,,150000,productif_equipement,,150000,,,
BRK-2026-000007,F,53,urbain,commerce_detail,0,5,28,4032000,3556000,476000,159606,42000,1050000,12,87500,0.1838,1.8241,28000,0.653,0,0.0,1,2,4,0,1,0.821,0.852,aucun,0,,0,,productif_equipement,foncier,,neutre,24,
BRK-2026-000008,F,33,urbain,vente_vivres,1,3,35,90000,69000,21000,12355,102000,150000,12,12500,0.5952,0.9884,0,0.202,0,0.0,1,1,0,0,0,0.0,0.804,aucun,0,17,0,,productif_equipement,materiel,150000,,,
BRK-2026-000009,M,39,rural,services,1,3,66,11975000,3923000,8052000,4142128,82000,10500000,9,1166667,0.1449,3.5504,2000,0.307,0,0.0,0,0,0,0,0,0.0,0.762,aucun,0,66,,,productif_fonds_roulement,,,neutre,,
BRK-2026-000010,M,31,urbain,quincaillerie_materiaux,0,6,66,2911000,2520000,391000,597254,58000,950000,6,158333,0.4049,3.7721,13000,0.833,0,0.0,0,0,2,0,0,0.0,0.826,aucun,0,,680000,,productif_fonds_roulement,aucune,,neutre,25,Fictif Boulangerie Faso Or
