genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut
F,53,urbain,services,0,5,18,1774000,410000,1364000,1338000,115000,1294000,18,84800,0.062,15.778,67000,0.565,0,0,1,2,1,0,1,0.693,0.893,aucun,0
F,32,rural,artisanat,1,4,38,619000,322000,297000,227000,89000,258000,18,16900,0.057,13.431,47000,0.549,0,0,1,0,0,0,1,0.473,0.84,aucun,0
M,56,urbain,vente_vivres,0,1,68,6107000,4940000,1167000,905000,39000,5419000,24,266400,0.228,3.397,194000,0.477,1,0.538,1,4,0,0,0,0,0.815,aucun,0
M,36,rural,artisanat,0,3,32,351000,167000,184000,172000,52000,328000,18,21500,0.117,8,9000,0.117,1,0.617,1,1,0,1,0,0,0.736,aucun,0
F,32,urbain,commerce_detail,0,3,34,140000,115000,25000,21000,20000,150000,9,19700,0.788,1.066,4000,0.674,1,0.893,0,0,0,0,1,0.851,0.951,aucun,0
M,44,urbain,commerce_detail,0,4,43,902000,731000,171000,172000,88000,818000,12,80400,0.47,2.139,2000,0.517,0,0,1,4,1,0,1,0.743,0.914,aucun,0
M,44,rural,artisanat,0,1,51,2478000,1266000,1212000,1002000,48000,1378000,12,135500,0.112,7.395,156000,0.909,1,0.552,0,0,0,0,0,0,0.775,aucun,0
M,51,urbain,commerce_detail,1,4,62,3110000,2514000,596000,497000,73000,2777000,6,546100,0.916,0.91,63000,0.503,1,0.842,1,1,0,0,1,0.134,0.856,retards,1
F,46,urbain,commerce_detail,1,1,54,1569000,1239000,330000,283000,43000,573000,9,75100,0.228,3.768,27000,0.5,1,0.71,1,1,1,0,1,0.338,0.963,aucun,0
F,45,urbain,quincaillerie_materiaux,1,4,18,3135000,2840000,295000,241000,85000,2804000,12,275700,0.935,0.874,6000,0.607,1,0.827,0,0,0,0,1,0.589,0.625,retards,1
